sa_2022_code,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
257081003,13,37,1,36,1,1,8,5,6,1,0,2,2,3
257078021,15,14,2,49,9,2,15,3,2,1,1,0,2,0
167017003,14,7,5,57,6,1,8,2,5,2,0,0,0,5
267119006/02,18,9,9,14,4,0,7,1,3,1,2,1,2,19
257078024,18,26,3,35,0,1,4,2,1,1,0,1,3,1
087019002,2,8,3,60,3,0,3,0,2,0,0,1,0,2
087071021,24,23,6,41,4,2,3,4,0,0,0,1,0,5
247026004,36,10,1,25,9,1,16,2,1,0,2,2,0,2
257058005,11,6,3,52,11,3,12,2,2,1,1,3,5,2
247002005/247002019,29,15,5,20,11,2,7,0,0,1,4,0,0,6
257039016,30,40,2,67,4,1,10,2,2,0,2,0,4,7
087073001,10,12,2,30,2,4,4,0,6,0,0,1,1,1
067012002,30,11,4,21,2,0,6,0,2,0,0,0,0,1
067039001,16,16,4,31,3,0,6,0,1,0,1,1,1,0
067097005,13,16,1,26,1,1,2,0,0,0,0,0,1,2
067032005,11,24,1,31,0,2,7,0,4,1,1,1,0,1
067179007,10,12,3,42,1,1,2,1,0,0,0,4,1,0
067026004,17,23,4,57,3,1,7,0,4,0,0,0,2,4
197041002,15,13,5,30,5,2,5,0,1,0,1,1,1,1
237063001,26,27,3,57,4,5,5,2,1,1,0,2,3,1
137015003,17,15,2,20,4,3,5,1,1,0,0,1,2,0
057064003/057064006,10,10,3,7,5,1,8,0,0,0,3,0,1,0
057136004,9,10,2,33,2,1,4,0,1,0,0,2,1,1
057005002,12,12,0,23,2,0,7,0,0,0,0,1,1,2
047311002,12,9,4,19,4,1,5,0,3,0,1,1,0,0
047100001,25,20,4,40,1,3,4,1,4,1,0,0,2,3
067057011,40,55,7,112,5,2,11,3,6,0,2,6,6,9
067098001,6,10,2,18,1,0,1,1,1,0,1,0,1,2
067166001,12,15,2,31,3,3,4,0,2,0,0,0,4,1
067185008,16,12,4,36,3,2,1,1,2,0,0,0,3,0
137014001,35,20,4,33,5,0,10,1,0,0,0,1,1,4
137037001,19,19,2,34,1,1,5,2,3,0,1,0,1,3
077082006,23,14,2,17,4,2,3,1,2,1,1,3,1,3
077112003/077112004,30,8,2,11,3,3,4,0,1,0,0,1,1,1
047060001,17,11,2,35,2,0,1,1,3,1,0,0,1,1
047273002,17,17,3,38,2,0,2,1,0,0,1,2,1,4
187022001,19,12,2,35,1,1,3,1,0,0,2,2,1,3
237052003,8,12,5,32,2,1,2,0,4,0,0,2,0,3
187022002,12,14,3,40,2,1,5,0,1,0,0,0,2,6
167008001,31,27,10,70,4,1,9,2,4,1,3,2,4,3
087058001,19,22,3,55,6,2,12,1,1,0,4,7,2,1
197058001,11,11,3,15,1,1,3,1,1,0,0,0,3,2
197021005,34,24,3,42,3,1,4,0,1,1,0,2,0,1
047024003,11,3,2,14,0,1,2,1,1,0,0,1,2,1
047108001,34,20,6,13,7,0,6,2,2,0,1,0,0,3
047288002,12,11,3,20,4,2,4,2,3,1,0,1,1,0
087066037/087066038,19,30,4,54,5,0,4,3,2,0,0,2,3,9
247022004,26,14,3,31,3,1,4,3,4,0,1,4,0,3
047082001,23,13,2,22,1,0,2,0,2,0,1,0,1,2
047290002,16,12,0,23,2,2,2,0,2,0,0,0,2,5
047197001/047197003/047197005,26,16,3,33,4,1,7,0,3,0,2,1,1,5
047321002,18,13,2,21,1,1,5,0,1,0,0,2,2,1
047057002,18,14,5,24,1,0,3,0,1,0,0,0,1,0
047282005/047282006,15,9,0,20,0,1,5,0,3,0,0,1,0,2
027002002,17,16,4,24,3,1,9,0,2,0,1,0,1,1
027081001,17,20,4,21,0,0,6,0,0,0,0,0,2,2
117055001,12,14,2,17,0,2,4,0,0,0,0,0,1,2
237049001,19,9,2,19,2,0,5,4,1,1,0,0,3,2
047110002,33,14,3,29,5,1,8,0,2,0,1,1,1,4
047199002,24,17,2,38,4,1,8,0,0,1,0,0,2,1
047095002,15,10,4,37,3,0,5,0,6,0,1,1,1,2
077014002,18,16,0,37,6,3,7,2,2,0,3,2,2,3
077127007,16,12,0,22,3,0,1,0,2,0,0,0,1,0
077109001,29,12,5,31,6,1,5,0,3,0,0,1,3,2
077164001,20,13,2,18,3,0,5,0,2,0,1,0,2,2
077086002,24,16,4,22,4,2,8,0,0,0,0,0,1,1
167047001,36,20,1,44,0,0,5,3,2,0,0,2,1,2
167056001,13,15,1,25,2,1,7,2,1,0,1,0,4,1
167051002,17,16,3,41,6,0,5,1,7,0,0,2,2,1
047207001,27,15,5,60,6,2,5,3,1,1,0,0,1,1
047035003,20,14,2,33,2,0,6,0,3,1,0,0,1,0
077142005,29,12,2,27,5,0,6,0,2,0,1,1,1,3
077158002,19,19,3,37,3,2,2,1,1,0,1,0,3,0
037083001/037083002,21,10,4,16,4,0,2,3,1,0,1,1,0,3
037049001/037049002,42,40,4,41,5,4,18,1,2,0,2,0,3,3
037095006,15,8,2,22,0,1,5,2,0,0,1,0,0,1
067064002,23,21,4,21,7,0,3,2,1,0,0,1,2,1
157104001,12,16,1,22,2,1,8,3,1,0,2,0,0,0
157001002,21,13,0,14,2,1,6,2,0,0,1,0,3,1
167089001,10,20,6,33,1,1,7,1,1,1,0,1,3,1
167089002,29,24,2,59,8,6,7,1,4,0,1,2,3,2
137021002,11,8,1,21,3,2,4,0,1,1,0,3,2,1
027009003,12,17,1,26,3,0,1,2,3,0,0,1,2,2
027009004,15,14,3,29,5,1,4,0,2,1,0,1,0,1
167086001,26,13,2,38,2,1,3,0,2,0,0,1,1,0
027031001,22,22,2,61,4,0,6,2,4,0,1,0,0,2
027005001,10,6,2,41,5,1,5,0,2,0,0,0,2,0
047018001,23,11,4,55,7,2,5,1,4,0,1,1,2,1
047306002,14,12,3,30,5,0,3,0,4,0,0,1,1,0
077078001,13,14,2,18,1,0,6,0,2,0,0,1,0,1
127070002,10,16,1,16,4,0,5,0,1,0,1,0,3,0
127101002,21,16,1,46,2,1,4,2,2,0,2,0,1,2
127109001,16,16,1,33,4,1,8,1,3,0,1,0,0,1
157124004,19,14,4,31,1,0,6,0,2,1,0,0,0,4
167058002,14,15,4,32,5,3,2,1,1,0,1,2,3,1
167059001,12,17,5,39,1,0,7,0,2,0,0,5,1,0
167068002,18,17,4,37,2,3,5,3,4,0,2,1,4,2
077087002,13,8,1,25,1,0,4,0,0,0,0,1,4,2
077099001,15,20,1,29,5,3,4,2,1,0,2,1,0,2
127108002,19,12,4,20,1,1,5,0,1,0,0,0,2,2
047268001,13,10,2,23,6,0,8,0,4,0,0,1,1,3
127024001,20,21,3,39,4,0,7,0,3,1,0,1,1,0
157101001,13,23,3,34,1,1,5,2,1,0,1,0,3,2
157021011,22,28,4,45,1,4,6,0,1,0,1,1,2,3
157085003,20,14,5,30,1,2,3,0,2,0,1,1,3,0
157020001,11,18,3,32,1,3,2,4,0,0,0,0,1,2
177057001,19,25,2,47,4,3,7,1,3,1,1,0,4,5
147010002,14,29,3,46,4,1,3,0,3,0,0,1,1,1
117075001,18,15,2,13,2,0,1,0,0,0,0,2,3,0
117029003/117054001,16,12,2,19,2,0,5,0,0,0,1,1,2,1
077096001,18,9,2,17,0,1,4,0,1,0,0,1,0,0
127094006,14,17,0,11,4,0,7,1,1,0,0,0,3,2
067111001,33,16,2,24,2,0,8,3,3,0,0,1,1,4
157048001,15,22,3,41,6,0,3,0,0,0,0,1,1,2
157039003,24,22,1,48,2,1,5,2,2,0,0,2,4,6
117043001,27,13,2,31,4,1,6,0,2,0,1,0,1,2
117019001,21,19,1,29,2,2,8,3,1,1,1,0,0,1
117068001,32,24,4,33,6,4,9,4,0,0,0,0,1,1
077111003,14,10,5,23,2,2,4,1,1,0,0,1,2,1
077087001,20,22,3,48,9,0,5,1,1,0,0,2,5,3
077054003,26,24,3,65,6,4,8,1,1,0,0,0,0,1
127044004,15,19,3,46,5,2,7,1,2,1,0,5,0,0
127017002,20,23,7,69,1,0,7,2,4,0,0,1,0,8
127037002,22,10,7,31,6,1,9,1,1,0,0,0,0,0
127130003,13,25,2,55,3,2,5,2,1,0,3,1,3,2
157028002,14,12,1,21,2,2,4,0,0,0,1,0,2,2
157058002,12,9,1,26,6,3,1,0,2,0,0,1,1,0
117077001,33,5,2,25,3,3,6,0,2,1,0,0,2,4
117057001,51,20,0,24,1,2,10,1,2,0,0,0,0,3
027044001,20,27,3,43,5,2,5,0,3,0,0,0,1,0
077030004,16,21,4,35,3,2,8,2,4,0,0,3,4,0
037066001,9,19,1,19,1,0,4,0,1,0,1,1,0,1
037153003,20,20,2,31,0,2,2,0,3,0,1,3,2,3
037072001,19,8,3,26,2,2,5,0,1,0,3,2,1,0
037082002,11,17,2,24,1,1,4,0,2,1,0,0,2,1
037091002,19,19,1,65,2,0,6,1,3,0,0,1,1,0
197037002,15,18,3,15,2,1,3,1,1,0,0,0,3,0
157088002,17,11,0,13,1,0,3,0,1,0,1,0,4,3
157056002,16,15,5,11,2,2,1,2,0,0,0,1,2,0
177064002,17,36,4,71,2,2,10,1,9,0,0,3,2,3
177026001,16,8,3,39,3,2,5,3,1,0,2,1,3,2
177065001,18,16,2,33,5,2,2,3,1,0,1,1,1,1
267091001,37,40,7,93,9,1,14,2,11,0,3,5,5,5
047097003,15,8,4,20,2,1,8,0,5,1,1,0,0,1
077148004/077148005,49,21,2,16,3,0,5,1,0,1,0,0,2,1
037043004,20,22,3,22,1,0,3,0,0,0,1,1,6,0
